backend,n_atoms,cutoff,threads,build_s_median,build_s_min,peak_mb,system,first_call_s,tracemalloc_mb,n_repeats,status
matscipy-neighbours-gpu,108000,5.0,1,0.1863349750638008,0.18581764888949692,2245.90625,cubic,0.19352916511707008,289.2193613052368,5,ok
matscipy-neighbours-device,108000,5.0,1,0.1856857391539961,0.18518138607032597,2245.90625,cubic,0.2791195628233254,289.2196807861328,5,ok
alchemi-gpu,108000,5.0,1,0.6181731871329248,0.6089134889189154,2245.90625,cubic,5.048792301909998,289.3941459655762,5,ok
vesin-gpu,108000,5.0,1,0.2613501059822738,0.26027676300145686,2245.90625,cubic,0.41974658612161875,422.70406341552734,5,ok
ase,32000,3.0,1,0.9812211859971285,0.9769739259500057,2245.90625,cubic,1.0131604911293834,363.6960496902466,5,ok
matscipy,32000,3.0,1,0.08536757901310921,0.08478109212592244,2245.90625,cubic,0.08294139197096229,25.5135555267334,5,ok
matscipy-neighbours,32000,3.0,1,0.0580949280411005,0.05750084901228547,2245.90625,cubic,0.0589600398670882,19.165990829467773,5,ok
vesin,32000,3.0,1,0.08279652195051312,0.08114946098066866,2245.90625,cubic,0.09609973011538386,34.43125534057617,5,ok
matscipy-neighbours-gpu,32000,3.0,1,0.013528364012017846,0.01304320408962667,2245.90625,cubic,0.014712228905409575,19.04710102081299,5,ok
matscipy-neighbours-device,32000,3.0,1,0.014165035914629698,0.013478958047926426,2245.90625,cubic,0.107936309883371,19.047466278076172,5,ok
alchemi-gpu,32000,3.0,1,0.11263751494698226,0.11191024887375534,2245.90625,cubic,3.9414244631771,19.217890739440918,5,ok
vesin-gpu,32000,3.0,1,0.02191932895220816,0.02176120807416737,2245.90625,cubic,0.1709122380707413,27.83721160888672,5,ok
ase,32000,4.0,1,2.6181361961644143,2.6139508499763906,2245.90625,cubic,2.635292376857251,898.6736764907837,5,ok
matscipy,32000,4.0,1,0.18506027315743268,0.18359450693242252,2245.90625,cubic,0.18523122114129364,50.9041805267334,5,ok
matscipy-neighbours,32000,4.0,1,0.09817334893159568,0.09790940792299807,2245.90625,cubic,0.10041626309975982,28.687475204467773,5,ok
vesin,32000,4.0,1,0.15262297401204705,0.15147419390268624,2245.90625,cubic,0.15907679498195648,51.27700424194336,5,ok
matscipy-neighbours-gpu,32000,4.0,1,0.020102998008951545,0.019935382064431906,2245.90625,cubic,0.02227905299514532,28.568631172180176,5,ok
matscipy-neighbours-device,32000,4.0,1,0.020924874115735292,0.02083330601453781,2245.90625,cubic,0.11181167489849031,28.56899642944336,5,ok
alchemi-gpu,32000,4.0,1,0.1364564939867705,0.13085905485786498,2245.90625,cubic,3.9210143520031124,28.740696907043457,5,ok
vesin-gpu,32000,4.0,1,0.031463708030059934,0.030955476919189095,2245.90625,cubic,0.18241664883680642,41.75322723388672,5,ok
ase,32000,5.0,1,4.15697236196138,4.1506811829749495,2245.90625,cubic,4.183212856994942,1583.380612373352,5,ok
matscipy,32000,5.0,1,0.36723533901385963,0.36662054783664644,2245.90625,cubic,0.3522237839642912,101.6854305267334,5,ok
matscipy-neighbours,32000,5.0,1,0.22050152509473264,0.21906904480420053,2245.90625,cubic,0.22719759307801723,85.81638145446777,5,ok
vesin,32000,5.0,1,0.3875682658981532,0.38598156115040183,2245.90625,cubic,0.3899405640549958,152.35126876831055,5,ok
matscipy-neighbours-gpu,32000,5.0,1,0.053797661093994975,0.05310194403864443,2245.90625,cubic,0.05839548702351749,85.69762897491455,5,ok
matscipy-neighbours-device,32000,5.0,1,0.05415919702500105,0.05375999491661787,2245.90625,cubic,0.14699833700433373,85.69799423217773,5,ok
alchemi-gpu,32000,5.0,1,0.20476788305677474,0.20321757206693292,2245.90625,cubic,4.309756312053651,85.86936283111572,5,ok
vesin-gpu,32000,5.0,1,0.08049967489205301,0.08021269901655614,2245.90625,cubic,0.2347022609319538,125.24927520751953,5,ok
ase,32000,6.0,1,8.659977247007191,8.648318089079112,3436.32421875,cubic,8.687459324952215,3234.4780702590942,5,ok
matscipy,32000,6.0,1,0.7189986249431968,0.7179446320515126,2245.90625,cubic,0.6788384120445698,203.2479305267334,5,ok
matscipy-neighbours,32000,6.0,1,0.3443358929362148,0.3429095968604088,2245.90625,cubic,0.35462711891159415,123.90231895446777,5,ok
vesin,32000,6.0,1,0.6122060769703239,0.6067412851843983,2245.90625,cubic,0.5989432900678366,219.73403549194336,5,ok
matscipy-neighbours-gpu,32000,6.0,1,0.07899456704035401,0.07720235595479608,2245.90625,cubic,0.0853906930424273,123.78347492218018,5,ok
matscipy-neighbours-device,32000,6.0,1,0.08074152003973722,0.07945053186267614,2245.90625,cubic,0.1768775989767164,123.78393173217773,5,ok
alchemi-gpu,32000,6.0,1,0.32001350400969386,0.3176607619971037,2245.90625,cubic,4.364627454895526,123.95691776275635,5,ok
vesin-gpu,32000,6.0,1,0.1162307420745492,0.11549273109994829,2245.90625,cubic,0.2743447090033442,180.91338348388672,5,ok
ase,32000,7.0,1,12.59953924594447,12.592088917968795,4664.63671875,cubic,12.671988476999104,4400.214192390442,5,ok
matscipy,32000,7.0,1,1.0051626171916723,0.9994723671115935,2245.90625,cubic,0.9744205379392952,406.3729305267334,5,ok
matscipy-neighbours,32000,7.0,1,0.5266286660917103,0.5237938910722733,2245.90625,cubic,0.5264754300005734,212.76950645446777,5,ok
vesin,32000,7.0,1,0.961610710946843,0.9567830490414053,2245.90625,cubic,0.9594669579528272,376.96059799194336,5,ok
matscipy-neighbours-gpu,32000,7.0,1,0.13918883400037885,0.13814763585105538,2245.90625,cubic,0.14492028090171516,212.65062046051025,5,ok
matscipy-neighbours-device,32000,7.0,1,0.139278429094702,0.13809914398007095,2245.90625,cubic,0.23151900013908744,212.6510772705078,5,ok
